Departements,Nombres
Ain,2 181
Aisne,1 500
Allier,984
Alpes-de-Haute-Provence,566
Hautes-Alpes,496
Alpes-Maritimes,3 921
Ardèche,1 099
Ardennes,728
Ariège,476
Aube,882
Aude,1 249
Aveyron,846
Bouches-du-Rhône,7 497
Calvados,2 298
Cantal,368
Charente,1 108
Charente-Maritime,2 212
Cher,884
Corrèze,688
Corse-du-Sud,534
Haute-Corse,584
Côte-d'Or,1 618
Côtes-d'Armor,1 771
Creuse,280
Dordogne,1 345
Doubs,1 687
Drôme,1 973
Eure,2 099
Eure-et-Loir,1 323
Finistère,2 696
Gard,2 774
Haute-Garonne,4 292
Gers,621
Gironde,5 572
Hérault,4 076
Ille-et-Vilaine,3 077
Indre,594
Indre-et-Loire,1 970
Isère,4 307
Jura,800
Landes,1 378
Loir-et-Cher,1 004
Loire,2 436
Haute-Loire,687
Loire-Atlantique,4 672
Loiret,2 144
Lot,568
Lot-et-Garonne,990
Lozère,185
Maine-et-Loire,2 624
Manche,1 458
Marne,1 669
Haute-Marne,470
Mayenne,887
Meurthe-et-Moselle,2 278
Meuse,515
Morbihan,2 421
Moselle,3 538
Nièvre,579
Nord,8 692
Oise,2 412
Orne,825
Pas-de-Calais,4 646
Puy-de-Dôme,1 904
Pyrénées-Atlantiques,1 968
Hautes-Pyrénées,629
Pyrénées-Orientales,1 629
Bas-Rhin,4 027
Haut-Rhin,2 720
Rhône,6 424
Haute-Saône,720
Saône-et-Loire,1 653
Sarthe,1 599
Savoie,1 473
Haute-Savoie,2 961
Paris,8 204
Seine-Maritime,3 973
Seine-et-Marne,4 946
Yvelines,4 778
Deux-Sèvres,949
Somme,1 548
Tarn,1 141
Tarn-et-Garonne,859
Var,4 174
Vaucluse,2 213
Vendée,2 370
Vienne,1 145
Haute-Vienne,998
Vosges,1 035
Yonne,1 068
Territoire de Belfort,490
Essonne,4 218
Hauts-de-Seine,5 645
Seine-Saint-Denis,5 191
Val-de-Marne,4 707
Val-d'Oise,4 469
Guadeloupe,925
Martinique,1 052
Guyane,619
La Réunion,3 004
Mayotte,337
